Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2021-01-01 00:00:00,Hungary,Hungary,HU,232.83,275.22,65.83,11.52,entsoe.eu,False,
2021-01-01 01:00:00,Hungary,Hungary,HU,231.37,271.9,66.22,12.27,entsoe.eu,False,
2021-01-01 02:00:00,Hungary,Hungary,HU,235.26,276.09,65.34,13.95,entsoe.eu,False,
2021-01-01 03:00:00,Hungary,Hungary,HU,240.75,282.53,64.18,13.8,entsoe.eu,False,
2021-01-01 04:00:00,Hungary,Hungary,HU,240.15,281.83,64.24,13.75,entsoe.eu,False,
2021-01-01 05:00:00,Hungary,Hungary,HU,243.66,286.31,63.87,15.34,entsoe.eu,False,
2021-01-01 06:00:00,Hungary,Hungary,HU,246.17,289.49,63.35,16.56,entsoe.eu,False,
2021-01-01 07:00:00,Hungary,Hungary,HU,237.97,280.44,64.82,19.45,entsoe.eu,False,
2021-01-01 08:00:00,Hungary,Hungary,HU,226.26,267.32,67.11,24.32,entsoe.eu,False,
2021-01-01 09:00:00,Hungary,Hungary,HU,215.68,256.33,68.46,25.94,entsoe.eu,False,
2021-01-01 10:00:00,Hungary,Hungary,HU,220.54,261.89,67.55,27.0,entsoe.eu,False,
2021-01-01 11:00:00,Hungary,Hungary,HU,218.22,259.42,67.94,26.5,entsoe.eu,False,
2021-01-01 12:00:00,Hungary,Hungary,HU,229.3,271.49,66.17,24.15,entsoe.eu,False,
2021-01-01 13:00:00,Hungary,Hungary,HU,238.32,281.1,64.71,21.35,entsoe.eu,False,
2021-01-01 14:00:00,Hungary,Hungary,HU,246.02,288.27,64.01,20.17,entsoe.eu,False,
2021-01-01 15:00:00,Hungary,Hungary,HU,245.01,287.02,63.95,19.06,entsoe.eu,False,
2021-01-01 16:00:00,Hungary,Hungary,HU,246.03,289.03,63.53,17.96,entsoe.eu,False,
2021-01-01 17:00:00,Hungary,Hungary,HU,245.3,288.73,63.4,17.93,entsoe.eu,False,
2021-01-01 18:00:00,Hungary,Hungary,HU,239.35,281.22,64.94,17.63,entsoe.eu,False,
2021-01-01 19:00:00,Hungary,Hungary,HU,240.82,283.33,64.67,16.46,entsoe.eu,False,
2021-01-01 20:00:00,Hungary,Hungary,HU,239.38,282.17,64.39,16.5,entsoe.eu,False,
2021-01-01 21:00:00,Hungary,Hungary,HU,236.04,278.9,64.8,14.47,entsoe.eu,False,
2021-01-01 22:00:00,Hungary,Hungary,HU,235.97,279.08,64.81,13.48,entsoe.eu,False,
2021-01-01 23:00:00,Hungary,Hungary,HU,231.5,274.44,65.48,12.21,entsoe.eu,False,
2021-01-02 00:00:00,Hungary,Hungary,HU,227.62,269.51,66.23,14.01,entsoe.eu,False,
2021-01-02 01:00:00,Hungary,Hungary,HU,232.7,272.41,65.99,15.23,entsoe.eu,False,
2021-01-02 02:00:00,Hungary,Hungary,HU,238.74,278.29,65.3,15.51,entsoe.eu,False,
2021-01-02 03:00:00,Hungary,Hungary,HU,236.39,275.66,65.68,15.38,entsoe.eu,False,
2021-01-02 04:00:00,Hungary,Hungary,HU,242.87,283.06,64.66,14.9,entsoe.eu,False,
2021-01-02 05:00:00,Hungary,Hungary,HU,246.46,287.33,64.62,14.34,entsoe.eu,False,
2021-01-02 06:00:00,Hungary,Hungary,HU,250.95,292.97,63.85,15.91,entsoe.eu,False,
2021-01-02 07:00:00,Hungary,Hungary,HU,245.03,285.94,65.13,19.62,entsoe.eu,False,
2021-01-02 08:00:00,Hungary,Hungary,HU,234.18,275.13,66.34,23.01,entsoe.eu,False,
2021-01-02 09:00:00,Hungary,Hungary,HU,231.95,273.15,66.43,25.73,entsoe.eu,False,
2021-01-02 10:00:00,Hungary,Hungary,HU,230.64,271.54,66.73,27.26,entsoe.eu,False,
2021-01-02 11:00:00,Hungary,Hungary,HU,237.38,278.28,65.91,26.37,entsoe.eu,False,
2021-01-02 12:00:00,Hungary,Hungary,HU,248.28,289.96,64.4,23.79,entsoe.eu,False,
2021-01-02 13:00:00,Hungary,Hungary,HU,249.64,291.88,63.95,21.79,entsoe.eu,False,
2021-01-02 14:00:00,Hungary,Hungary,HU,252.94,295.99,63.04,20.96,entsoe.eu,False,
2021-01-02 15:00:00,Hungary,Hungary,HU,243.66,285.68,64.39,19.85,entsoe.eu,False,
2021-01-02 16:00:00,Hungary,Hungary,HU,239.73,283.01,64.52,17.05,entsoe.eu,False,
2021-01-02 17:00:00,Hungary,Hungary,HU,234.9,276.95,65.7,16.84,entsoe.eu,False,
2021-01-02 18:00:00,Hungary,Hungary,HU,220.24,265.11,65.6,15.98,entsoe.eu,False,
2021-01-02 19:00:00,Hungary,Hungary,HU,220.82,266.61,65.1,14.92,entsoe.eu,False,
2021-01-02 20:00:00,Hungary,Hungary,HU,223.89,269.74,64.78,13.94,entsoe.eu,False,
2021-01-02 21:00:00,Hungary,Hungary,HU,223.44,268.35,65.14,14.81,entsoe.eu,False,
2021-01-02 22:00:00,Hungary,Hungary,HU,223.98,268.57,65.23,14.47,entsoe.eu,False,
2021-01-02 23:00:00,Hungary,Hungary,HU,214.11,256.73,67.14,14.27,entsoe.eu,False,
2021-01-03 00:00:00,Hungary,Hungary,HU,214.49,255.76,68.03,13.67,entsoe.eu,False,
2021-01-03 01:00:00,Hungary,Hungary,HU,224.7,263.99,67.41,14.43,entsoe.eu,False,
2021-01-03 02:00:00,Hungary,Hungary,HU,234.55,272.83,66.84,15.96,entsoe.eu,False,
2021-01-03 03:00:00,Hungary,Hungary,HU,240.28,278.13,66.48,15.46,entsoe.eu,False,
2021-01-03 04:00:00,Hungary,Hungary,HU,243.08,280.25,66.64,15.43,entsoe.eu,False,
2021-01-03 05:00:00,Hungary,Hungary,HU,251.71,290.87,65.06,15.82,entsoe.eu,False,
2021-01-03 06:00:00,Hungary,Hungary,HU,240.63,280.09,66.46,15.43,entsoe.eu,False,
2021-01-03 07:00:00,Hungary,Hungary,HU,235.4,274.0,67.47,16.88,entsoe.eu,False,
2021-01-03 08:00:00,Hungary,Hungary,HU,239.58,280.23,65.8,17.67,entsoe.eu,False,
2021-01-03 09:00:00,Hungary,Hungary,HU,234.5,275.2,65.85,18.3,entsoe.eu,False,
2021-01-03 10:00:00,Hungary,Hungary,HU,229.18,270.03,66.37,19.72,entsoe.eu,False,
2021-01-03 11:00:00,Hungary,Hungary,HU,223.91,263.34,67.52,20.34,entsoe.eu,False,
2021-01-03 12:00:00,Hungary,Hungary,HU,222.02,260.18,68.66,19.87,entsoe.eu,False,
2021-01-03 13:00:00,Hungary,Hungary,HU,233.68,274.38,65.99,17.22,entsoe.eu,False,
2021-01-03 14:00:00,Hungary,Hungary,HU,252.05,295.06,62.97,13.63,entsoe.eu,False,
2021-01-03 15:00:00,Hungary,Hungary,HU,257.29,299.68,63.2,13.08,entsoe.eu,False,
2021-01-03 16:00:00,Hungary,Hungary,HU,263.54,306.85,62.41,12.41,entsoe.eu,False,
2021-01-03 17:00:00,Hungary,Hungary,HU,264.29,307.66,62.22,12.14,entsoe.eu,False,
2021-01-03 18:00:00,Hungary,Hungary,HU,264.81,309.7,61.38,11.39,entsoe.eu,False,
2021-01-03 19:00:00,Hungary,Hungary,HU,259.91,304.23,62.2,10.59,entsoe.eu,False,
2021-01-03 20:00:00,Hungary,Hungary,HU,254.41,300.16,61.74,9.78,entsoe.eu,False,
2021-01-03 21:00:00,Hungary,Hungary,HU,256.73,303.31,60.75,9.18,entsoe.eu,False,
2021-01-03 22:00:00,Hungary,Hungary,HU,255.28,300.75,61.44,10.4,entsoe.eu,False,
2021-01-03 23:00:00,Hungary,Hungary,HU,252.15,299.06,60.85,8.5,entsoe.eu,False,
2021-01-04 00:00:00,Hungary,Hungary,HU,254.61,299.63,61.43,8.75,entsoe.eu,False,
2021-01-04 01:00:00,Hungary,Hungary,HU,261.79,306.81,60.1,7.26,entsoe.eu,False,
2021-01-04 02:00:00,Hungary,Hungary,HU,263.92,308.23,60.02,7.85,entsoe.eu,False,
2021-01-04 03:00:00,Hungary,Hungary,HU,265.49,309.5,60.11,8.9,entsoe.eu,False,
2021-01-04 04:00:00,Hungary,Hungary,HU,272.07,319.81,58.34,8.1,entsoe.eu,False,
2021-01-04 05:00:00,Hungary,Hungary,HU,280.16,327.51,57.71,9.18,entsoe.eu,False,
2021-01-04 06:00:00,Hungary,Hungary,HU,282.89,331.57,56.77,9.57,entsoe.eu,False,
2021-01-04 07:00:00,Hungary,Hungary,HU,280.02,328.21,57.48,11.99,entsoe.eu,False,
2021-01-04 08:00:00,Hungary,Hungary,HU,273.75,321.78,58.1,14.85,entsoe.eu,False,
2021-01-04 09:00:00,Hungary,Hungary,HU,271.13,319.02,58.48,14.39,entsoe.eu,False,
2021-01-04 10:00:00,Hungary,Hungary,HU,270.86,318.91,58.72,14.99,entsoe.eu,False,
2021-01-04 11:00:00,Hungary,Hungary,HU,273.12,321.33,58.45,15.16,entsoe.eu,False,
2021-01-04 12:00:00,Hungary,Hungary,HU,281.25,332.16,55.69,13.11,entsoe.eu,False,
2021-01-04 13:00:00,Hungary,Hungary,HU,287.78,339.29,54.56,11.2,entsoe.eu,False,
2021-01-04 14:00:00,Hungary,Hungary,HU,292.5,343.97,54.38,10.54,entsoe.eu,False,
2021-01-04 15:00:00,Hungary,Hungary,HU,297.13,347.84,54.6,10.58,entsoe.eu,False,
2021-01-04 16:00:00,Hungary,Hungary,HU,292.4,343.01,55.18,11.45,entsoe.eu,False,
2021-01-04 17:00:00,Hungary,Hungary,HU,287.67,338.38,55.41,11.49,entsoe.eu,False,
2021-01-04 18:00:00,Hungary,Hungary,HU,287.75,339.42,54.72,9.47,entsoe.eu,False,
2021-01-04 19:00:00,Hungary,Hungary,HU,290.37,342.43,54.27,8.14,entsoe.eu,False,
2021-01-04 20:00:00,Hungary,Hungary,HU,284.58,336.03,55.0,8.82,entsoe.eu,False,
2021-01-04 21:00:00,Hungary,Hungary,HU,281.27,332.52,55.34,8.72,entsoe.eu,False,
2021-01-04 22:00:00,Hungary,Hungary,HU,272.07,322.75,56.66,9.43,entsoe.eu,False,
2021-01-04 23:00:00,Hungary,Hungary,HU,262.99,310.25,59.13,12.43,entsoe.eu,False,
2021-01-05 00:00:00,Hungary,Hungary,HU,273.23,320.59,58.06,11.67,entsoe.eu,False,
2021-01-05 01:00:00,Hungary,Hungary,HU,273.12,318.61,58.38,11.41,entsoe.eu,False,
2021-01-05 02:00:00,Hungary,Hungary,HU,267.29,311.18,59.61,12.17,entsoe.eu,False,
2021-01-05 03:00:00,Hungary,Hungary,HU,276.09,321.86,57.85,11.52,entsoe.eu,False,
2021-01-05 04:00:00,Hungary,Hungary,HU,279.96,327.25,57.1,11.76,entsoe.eu,False,
2021-01-05 05:00:00,Hungary,Hungary,HU,288.54,339.02,54.91,11.05,entsoe.eu,False,
2021-01-05 06:00:00,Hungary,Hungary,HU,286.78,338.5,54.42,11.44,entsoe.eu,False,
2021-01-05 07:00:00,Hungary,Hungary,HU,285.21,335.65,55.12,14.82,entsoe.eu,False,
2021-01-05 08:00:00,Hungary,Hungary,HU,282.65,332.7,55.5,16.38,entsoe.eu,False,
2021-01-05 09:00:00,Hungary,Hungary,HU,283.02,333.3,55.14,17.27,entsoe.eu,False,
2021-01-05 10:00:00,Hungary,Hungary,HU,285.46,335.97,54.58,18.18,entsoe.eu,False,
2021-01-05 11:00:00,Hungary,Hungary,HU,288.04,338.82,54.35,18.49,entsoe.eu,False,
2021-01-05 12:00:00,Hungary,Hungary,HU,290.21,340.91,54.2,18.64,entsoe.eu,False,
2021-01-05 13:00:00,Hungary,Hungary,HU,289.49,340.19,54.39,17.89,entsoe.eu,False,
2021-01-05 14:00:00,Hungary,Hungary,HU,290.41,341.24,54.41,16.0,entsoe.eu,False,
2021-01-05 15:00:00,Hungary,Hungary,HU,288.22,338.52,55.36,15.88,entsoe.eu,False,
2021-01-05 16:00:00,Hungary,Hungary,HU,284.85,335.36,55.62,15.29,entsoe.eu,False,
2021-01-05 17:00:00,Hungary,Hungary,HU,284.24,335.33,55.2,14.93,entsoe.eu,False,
2021-01-05 18:00:00,Hungary,Hungary,HU,286.77,338.5,54.59,13.53,entsoe.eu,False,
2021-01-05 19:00:00,Hungary,Hungary,HU,290.71,343.03,53.9,11.47,entsoe.eu,False,
2021-01-05 20:00:00,Hungary,Hungary,HU,288.47,340.46,54.32,11.29,entsoe.eu,False,
2021-01-05 21:00:00,Hungary,Hungary,HU,286.24,337.51,54.66,12.35,entsoe.eu,False,
2021-01-05 22:00:00,Hungary,Hungary,HU,279.1,329.7,55.67,12.78,entsoe.eu,False,
2021-01-05 23:00:00,Hungary,Hungary,HU,276.33,324.88,56.89,13.5,entsoe.eu,False,
2021-01-06 00:00:00,Hungary,Hungary,HU,288.63,336.29,55.85,14.44,entsoe.eu,False,
2021-01-06 01:00:00,Hungary,Hungary,HU,293.13,340.75,55.06,12.91,entsoe.eu,False,
2021-01-06 02:00:00,Hungary,Hungary,HU,287.45,334.1,55.71,13.11,entsoe.eu,False,
2021-01-06 03:00:00,Hungary,Hungary,HU,298.01,345.67,54.25,12.8,entsoe.eu,False,
2021-01-06 04:00:00,Hungary,Hungary,HU,295.73,345.17,53.94,13.53,entsoe.eu,False,
2021-01-06 05:00:00,Hungary,Hungary,HU,286.77,337.82,54.76,13.86,entsoe.eu,False,
2021-01-06 06:00:00,Hungary,Hungary,HU,281.04,332.86,55.18,14.81,entsoe.eu,False,
2021-01-06 07:00:00,Hungary,Hungary,HU,280.55,331.76,55.1,17.17,entsoe.eu,False,
2021-01-06 08:00:00,Hungary,Hungary,HU,279.83,329.46,55.58,19.22,entsoe.eu,False,
2021-01-06 09:00:00,Hungary,Hungary,HU,275.93,324.75,56.38,20.3,entsoe.eu,False,
2021-01-06 10:00:00,Hungary,Hungary,HU,269.18,317.76,57.5,21.65,entsoe.eu,False,
2021-01-06 11:00:00,Hungary,Hungary,HU,268.19,317.06,57.73,21.6,entsoe.eu,False,
2021-01-06 12:00:00,Hungary,Hungary,HU,272.78,321.47,57.56,21.86,entsoe.eu,False,
2021-01-06 13:00:00,Hungary,Hungary,HU,276.56,326.24,56.76,20.25,entsoe.eu,False,
2021-01-06 14:00:00,Hungary,Hungary,HU,282.58,333.41,55.67,18.45,entsoe.eu,False,
2021-01-06 15:00:00,Hungary,Hungary,HU,276.95,327.41,56.76,17.96,entsoe.eu,False,
2021-01-06 16:00:00,Hungary,Hungary,HU,279.8,330.59,56.28,16.72,entsoe.eu,False,
2021-01-06 17:00:00,Hungary,Hungary,HU,285.79,337.18,55.15,15.21,entsoe.eu,False,
2021-01-06 18:00:00,Hungary,Hungary,HU,287.08,338.58,54.79,14.34,entsoe.eu,False,
2021-01-06 19:00:00,Hungary,Hungary,HU,288.03,340.39,54.42,11.77,entsoe.eu,False,
2021-01-06 20:00:00,Hungary,Hungary,HU,285.2,337.87,54.68,10.18,entsoe.eu,False,
2021-01-06 21:00:00,Hungary,Hungary,HU,275.11,327.08,55.99,10.83,entsoe.eu,False,
2021-01-06 22:00:00,Hungary,Hungary,HU,276.46,328.43,55.9,10.83,entsoe.eu,False,
2021-01-06 23:00:00,Hungary,Hungary,HU,277.37,329.32,55.6,12.59,entsoe.eu,False,
2021-01-07 00:00:00,Hungary,Hungary,HU,278.3,328.08,56.58,13.44,entsoe.eu,False,
2021-01-07 01:00:00,Hungary,Hungary,HU,279.59,327.79,56.61,13.33,entsoe.eu,False,
2021-01-07 02:00:00,Hungary,Hungary,HU,280.27,327.94,56.51,13.25,entsoe.eu,False,
2021-01-07 03:00:00,Hungary,Hungary,HU,284.44,332.86,55.68,12.52,entsoe.eu,False,
2021-01-07 04:00:00,Hungary,Hungary,HU,286.8,337.87,54.39,13.2,entsoe.eu,False,
2021-01-07 05:00:00,Hungary,Hungary,HU,288.57,340.47,54.34,13.41,entsoe.eu,False,
2021-01-07 06:00:00,Hungary,Hungary,HU,286.64,337.69,54.71,15.49,entsoe.eu,False,
2021-01-07 07:00:00,Hungary,Hungary,HU,285.76,335.11,55.6,18.49,entsoe.eu,False,
2021-01-07 08:00:00,Hungary,Hungary,HU,279.54,328.61,56.85,20.12,entsoe.eu,False,
2021-01-07 09:00:00,Hungary,Hungary,HU,269.18,316.97,58.6,23.99,entsoe.eu,False,
2021-01-07 10:00:00,Hungary,Hungary,HU,267.52,314.34,59.25,25.58,entsoe.eu,False,
2021-01-07 11:00:00,Hungary,Hungary,HU,268.86,315.56,59.13,26.0,entsoe.eu,False,
2021-01-07 12:00:00,Hungary,Hungary,HU,270.4,317.2,58.91,24.45,entsoe.eu,False,
2021-01-07 13:00:00,Hungary,Hungary,HU,278.24,324.75,58.2,22.63,entsoe.eu,False,
2021-01-07 14:00:00,Hungary,Hungary,HU,288.09,336.13,56.15,20.07,entsoe.eu,False,
2021-01-07 15:00:00,Hungary,Hungary,HU,284.95,332.48,56.7,20.55,entsoe.eu,False,
2021-01-07 16:00:00,Hungary,Hungary,HU,286.27,334.58,56.2,19.31,entsoe.eu,False,
2021-01-07 17:00:00,Hungary,Hungary,HU,288.42,337.46,55.53,17.26,entsoe.eu,False,
2021-01-07 18:00:00,Hungary,Hungary,HU,291.69,342.05,54.4,14.97,entsoe.eu,False,
2021-01-07 19:00:00,Hungary,Hungary,HU,290.46,341.76,54.25,13.11,entsoe.eu,False,
2021-01-07 20:00:00,Hungary,Hungary,HU,290.84,343.17,53.89,10.88,entsoe.eu,False,
2021-01-07 21:00:00,Hungary,Hungary,HU,288.2,341.65,53.21,10.49,entsoe.eu,False,
2021-01-07 22:00:00,Hungary,Hungary,HU,290.81,343.96,52.71,9.55,entsoe.eu,False,
2021-01-07 23:00:00,Hungary,Hungary,HU,287.06,341.03,53.04,9.93,entsoe.eu,False,
2021-01-08 00:00:00,Hungary,Hungary,HU,287.51,340.41,53.35,10.71,entsoe.eu,False,
2021-01-08 01:00:00,Hungary,Hungary,HU,286.02,337.0,54.36,12.05,entsoe.eu,False,
2021-01-08 02:00:00,Hungary,Hungary,HU,288.45,338.68,54.45,11.95,entsoe.eu,False,
2021-01-08 03:00:00,Hungary,Hungary,HU,298.27,349.27,53.12,12.51,entsoe.eu,False,
2021-01-08 04:00:00,Hungary,Hungary,HU,309.35,363.56,50.8,11.56,entsoe.eu,False,
2021-01-08 05:00:00,Hungary,Hungary,HU,311.7,365.41,51.38,11.66,entsoe.eu,False,
2021-01-08 06:00:00,Hungary,Hungary,HU,310.49,363.73,51.58,14.09,entsoe.eu,False,
2021-01-08 07:00:00,Hungary,Hungary,HU,299.34,351.08,53.1,17.77,entsoe.eu,False,
2021-01-08 08:00:00,Hungary,Hungary,HU,294.31,344.86,54.05,19.61,entsoe.eu,False,
2021-01-08 09:00:00,Hungary,Hungary,HU,290.53,340.15,54.72,20.74,entsoe.eu,False,
2021-01-08 10:00:00,Hungary,Hungary,HU,291.14,341.4,54.47,21.58,entsoe.eu,False,
2021-01-08 11:00:00,Hungary,Hungary,HU,291.75,341.95,54.42,22.5,entsoe.eu,False,
2021-01-08 12:00:00,Hungary,Hungary,HU,289.29,339.03,54.92,23.34,entsoe.eu,False,
2021-01-08 13:00:00,Hungary,Hungary,HU,271.52,321.37,57.96,20.75,entsoe.eu,False,
2021-01-08 14:00:00,Hungary,Hungary,HU,269.2,319.07,56.97,19.87,entsoe.eu,False,
2021-01-08 15:00:00,Hungary,Hungary,HU,279.81,328.36,56.14,21.44,entsoe.eu,False,
2021-01-08 16:00:00,Hungary,Hungary,HU,277.55,326.91,56.16,20.11,entsoe.eu,False,
2021-01-08 17:00:00,Hungary,Hungary,HU,278.78,327.79,56.32,19.53,entsoe.eu,False,
2021-01-08 18:00:00,Hungary,Hungary,HU,281.19,330.54,55.82,19.0,entsoe.eu,False,
2021-01-08 19:00:00,Hungary,Hungary,HU,280.82,330.85,55.6,17.37,entsoe.eu,False,
2021-01-08 20:00:00,Hungary,Hungary,HU,281.61,333.45,54.98,14.44,entsoe.eu,False,
2021-01-08 21:00:00,Hungary,Hungary,HU,274.2,326.46,55.38,13.4,entsoe.eu,False,
2021-01-08 22:00:00,Hungary,Hungary,HU,272.16,325.11,55.25,12.95,entsoe.eu,False,
2021-01-08 23:00:00,Hungary,Hungary,HU,275.27,325.93,56.28,15.27,entsoe.eu,False,
2021-01-09 00:00:00,Hungary,Hungary,HU,280.48,328.93,56.94,16.23,entsoe.eu,False,
2021-01-09 01:00:00,Hungary,Hungary,HU,285.12,333.13,56.09,15.35,entsoe.eu,False,
2021-01-09 02:00:00,Hungary,Hungary,HU,275.65,323.32,57.0,15.51,entsoe.eu,False,
2021-01-09 03:00:00,Hungary,Hungary,HU,272.2,318.53,57.93,15.97,entsoe.eu,False,
2021-01-09 04:00:00,Hungary,Hungary,HU,276.14,321.98,57.75,15.26,entsoe.eu,False,
2021-01-09 05:00:00,Hungary,Hungary,HU,280.2,328.66,56.57,13.99,entsoe.eu,False,
2021-01-09 06:00:00,Hungary,Hungary,HU,279.71,328.36,57.03,13.57,entsoe.eu,False,
2021-01-09 07:00:00,Hungary,Hungary,HU,275.43,323.08,57.87,16.1,entsoe.eu,False,
2021-01-09 08:00:00,Hungary,Hungary,HU,261.37,308.48,59.75,18.86,entsoe.eu,False,
2021-01-09 09:00:00,Hungary,Hungary,HU,251.19,297.68,61.26,19.9,entsoe.eu,False,
2021-01-09 10:00:00,Hungary,Hungary,HU,247.23,293.37,61.96,21.0,entsoe.eu,False,
2021-01-09 11:00:00,Hungary,Hungary,HU,246.53,292.57,62.01,20.35,entsoe.eu,False,
2021-01-09 12:00:00,Hungary,Hungary,HU,247.52,294.4,61.31,18.71,entsoe.eu,False,
2021-01-09 13:00:00,Hungary,Hungary,HU,259.88,308.0,59.31,15.99,entsoe.eu,False,
2021-01-09 14:00:00,Hungary,Hungary,HU,269.53,319.08,57.66,13.71,entsoe.eu,False,
2021-01-09 15:00:00,Hungary,Hungary,HU,272.9,323.02,57.31,14.45,entsoe.eu,False,
2021-01-09 16:00:00,Hungary,Hungary,HU,273.74,323.33,57.53,15.2,entsoe.eu,False,
2021-01-09 17:00:00,Hungary,Hungary,HU,273.46,323.8,57.23,14.09,entsoe.eu,False,
2021-01-09 18:00:00,Hungary,Hungary,HU,272.69,322.98,57.43,12.75,entsoe.eu,False,
2021-01-09 19:00:00,Hungary,Hungary,HU,273.38,324.23,57.14,10.42,entsoe.eu,False,
2021-01-09 20:00:00,Hungary,Hungary,HU,268.97,320.63,56.88,9.27,entsoe.eu,False,
2021-01-09 21:00:00,Hungary,Hungary,HU,269.45,319.89,57.44,10.09,entsoe.eu,False,
2021-01-09 22:00:00,Hungary,Hungary,HU,261.36,312.99,57.86,10.38,entsoe.eu,False,
2021-01-09 23:00:00,Hungary,Hungary,HU,255.81,307.14,58.66,10.06,entsoe.eu,False,
2021-01-10 00:00:00,Hungary,Hungary,HU,259.23,309.24,59.02,10.34,entsoe.eu,False,
2021-01-10 01:00:00,Hungary,Hungary,HU,256.06,305.25,59.41,9.43,entsoe.eu,False,
2021-01-10 02:00:00,Hungary,Hungary,HU,251.0,299.95,59.81,9.45,entsoe.eu,False,
2021-01-10 03:00:00,Hungary,Hungary,HU,255.59,304.58,59.24,10.01,entsoe.eu,False,
2021-01-10 04:00:00,Hungary,Hungary,HU,259.98,309.31,58.52,10.13,entsoe.eu,False,
2021-01-10 05:00:00,Hungary,Hungary,HU,263.11,312.67,58.49,11.17,entsoe.eu,False,
2021-01-10 06:00:00,Hungary,Hungary,HU,257.63,307.29,59.52,10.73,entsoe.eu,False,
2021-01-10 07:00:00,Hungary,Hungary,HU,260.48,310.22,59.33,10.43,entsoe.eu,False,
2021-01-10 08:00:00,Hungary,Hungary,HU,266.31,315.88,58.36,10.89,entsoe.eu,False,
2021-01-10 09:00:00,Hungary,Hungary,HU,273.16,323.21,57.15,10.69,entsoe.eu,False,
2021-01-10 10:00:00,Hungary,Hungary,HU,276.04,324.9,57.5,11.59,entsoe.eu,False,
2021-01-10 11:00:00,Hungary,Hungary,HU,273.18,321.57,57.88,11.44,entsoe.eu,False,
2021-01-10 12:00:00,Hungary,Hungary,HU,269.15,317.94,58.25,10.98,entsoe.eu,False,
2021-01-10 13:00:00,Hungary,Hungary,HU,270.1,319.92,57.73,10.31,entsoe.eu,False,
2021-01-10 14:00:00,Hungary,Hungary,HU,271.54,322.14,57.38,9.96,entsoe.eu,False,
2021-01-10 15:00:00,Hungary,Hungary,HU,272.55,323.02,57.55,12.03,entsoe.eu,False,
2021-01-10 16:00:00,Hungary,Hungary,HU,268.63,318.79,57.7,12.38,entsoe.eu,False,
2021-01-10 17:00:00,Hungary,Hungary,HU,269.89,319.04,57.9,13.77,entsoe.eu,False,
2021-01-10 18:00:00,Hungary,Hungary,HU,265.22,314.36,58.52,13.43,entsoe.eu,False,
2021-01-10 19:00:00,Hungary,Hungary,HU,269.75,320.25,57.38,12.04,entsoe.eu,False,
2021-01-10 20:00:00,Hungary,Hungary,HU,268.13,319.86,56.86,11.76,entsoe.eu,False,
2021-01-10 21:00:00,Hungary,Hungary,HU,272.72,323.77,56.81,13.0,entsoe.eu,False,
2021-01-10 22:00:00,Hungary,Hungary,HU,262.19,312.25,58.41,14.06,entsoe.eu,False,
2021-01-10 23:00:00,Hungary,Hungary,HU,255.75,304.94,59.71,10.96,entsoe.eu,False,
2021-01-11 00:00:00,Hungary,Hungary,HU,258.88,306.96,59.85,10.7,entsoe.eu,False,
2021-01-11 01:00:00,Hungary,Hungary,HU,262.25,308.84,59.66,11.47,entsoe.eu,False,
2021-01-11 02:00:00,Hungary,Hungary,HU,260.96,307.66,59.7,11.4,entsoe.eu,False,
2021-01-11 03:00:00,Hungary,Hungary,HU,265.94,313.01,58.99,11.58,entsoe.eu,False,
2021-01-11 04:00:00,Hungary,Hungary,HU,273.5,323.95,56.74,9.39,entsoe.eu,False,
2021-01-11 05:00:00,Hungary,Hungary,HU,281.07,334.76,54.33,11.53,entsoe.eu,False,
2021-01-11 06:00:00,Hungary,Hungary,HU,284.01,338.63,53.44,11.51,entsoe.eu,False,
2021-01-11 07:00:00,Hungary,Hungary,HU,280.13,334.49,54.18,13.13,entsoe.eu,False,
2021-01-11 08:00:00,Hungary,Hungary,HU,273.38,325.35,56.22,14.58,entsoe.eu,False,
2021-01-11 09:00:00,Hungary,Hungary,HU,263.14,313.55,57.95,16.06,entsoe.eu,False,
2021-01-11 10:00:00,Hungary,Hungary,HU,266.91,317.39,57.71,15.58,entsoe.eu,False,
2021-01-11 11:00:00,Hungary,Hungary,HU,269.31,320.55,57.24,15.5,entsoe.eu,False,
2021-01-11 12:00:00,Hungary,Hungary,HU,274.7,326.63,56.53,13.81,entsoe.eu,False,
2021-01-11 13:00:00,Hungary,Hungary,HU,281.29,334.17,55.49,12.08,entsoe.eu,False,
2021-01-11 14:00:00,Hungary,Hungary,HU,287.06,340.68,54.61,10.95,entsoe.eu,False,
2021-01-11 15:00:00,Hungary,Hungary,HU,291.92,344.95,54.82,12.22,entsoe.eu,False,
2021-01-11 16:00:00,Hungary,Hungary,HU,293.9,348.11,53.78,11.92,entsoe.eu,False,
2021-01-11 17:00:00,Hungary,Hungary,HU,293.74,347.4,54.15,11.57,entsoe.eu,False,
2021-01-11 18:00:00,Hungary,Hungary,HU,288.56,343.48,53.69,10.35,entsoe.eu,False,
2021-01-11 19:00:00,Hungary,Hungary,HU,291.22,346.07,53.4,8.71,entsoe.eu,False,
2021-01-11 20:00:00,Hungary,Hungary,HU,289.3,343.78,53.69,8.33,entsoe.eu,False,
